# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 32K of event 'branch-instructions'
# Event count (approx.): 4978103875
#
# Overhead  Command  Shared Object               Symbol                                                                                                                                                                                                                                                              
# ........  .......  ..........................  ....................................................................................................................................................................................................................................................................
#
     0.02%  test     libjpeg.so.8.2.2            [.] 0x0000000000027bf4
     0.02%  test     libjpeg.so.8.2.2            [.] 0x000000000004be6f
     0.02%  test     [kernel.kallsyms]           [k] folio_clear_dirty_for_io
     0.02%  test     libjpeg.so.8.2.2            [.] 0x00000000000155f6
     0.02%  test     [kernel.kallsyms]           [k] fsnotify
     0.02%  test     [kernel.kallsyms]           [k] asm_exc_page_fault
     0.02%  test     libjpeg.so.8.2.2            [.] 0x000000000004c6fb
     0.02%  test     [kernel.kallsyms]           [k] __block_commit_write.constprop.0
     0.02%  test     libjpeg.so.8.2.2            [.] 0x00000000000156be
     0.02%  test     libjpeg.so.8.2.2            [.] 0x0000000000015617
     0.02%  test     libjpeg.so.8.2.2            [.] 0x00000000000271ee
     0.02%  test     [kernel.kallsyms]           [k] __es_insert_extent
     0.02%  test     [kernel.kallsyms]           [k] __ext4_journal_get_write_access
     0.02%  test     libjpeg.so.8.2.2            [.] 0x00000000000156d3
     0.02%  test     libjpeg.so.8.2.2            [.] 0x0000000000048e4c
     0.02%  test     [kernel.kallsyms]           [k] __radix_tree_lookup
     0.02%  test     libjpeg.so.8.2.2            [.] 0x000000000004bf07
     0.02%  test     libjpeg.so.8.2.2            [.] 0x0000000000028b8c
     0.02%  test     [kernel.kallsyms]           [k] fpregs_assert_state_consistent
     0.02%  test     test                        [.] std::vector<int, std::allocator<int> >::operator[](unsigned long)
     0.02%  test     libjpeg.so.8.2.2            [.] 0x00000000000277fe
     0.02%  test     libjpeg.so.8.2.2            [.] 0x0000000000026d4e
     0.02%  test     libjpeg.so.8.2.2            [.] 0x00000000000277ca
     0.02%  test     libjpeg.so.8.2.2            [.] 0x00000000000270d8
     0.02%  test     [kernel.kallsyms]           [k] _raw_read_lock
     0.02%  test     test                        [.] sqrtf@plt
     0.02%  test     [kernel.kallsyms]           [k] mod_objcg_state
     0.02%  test     [kernel.kallsyms]           [k] error_entry
     0.02%  test     libjpeg.so.8.2.2            [.] 0x0000000000027234
     0.02%  test     [kernel.kallsyms]           [k] xas_start
     0.02%  test     [kernel.kallsyms]           [k] xas_clear_mark
     0.02%  test     libjpeg.so.8.2.2            [.] 0x00000000000271c0
     0.02%  test     libjpeg.so.8.2.2            [.] 0x0000000000027815
     0.02%  test     libjpeg.so.8.2.2            [.] 0x0000000000027167
     0.02%  test     libjpeg.so.8.2.2            [.] 0x0000000000027a3c
     0.02%  test     [kernel.kallsyms]           [k] update_curr
     0.02%  test     libjpeg.so.8.2.2            [.] 0x0000000000020ea4
     0.02%  test     libjpeg.so.8.2.2            [.] 0x000000000003d637
     0.02%  test     libjpeg.so.8.2.2            [.] 0x000000000004c2f3
     0.02%  test     libjpeg.so.8.2.2            [.] 0x000000000003d6c8
     0.02%  test     libjpeg.so.8.2.2            [.] 0x000000000004be7b
     0.02%  test     [kernel.kallsyms]           [k] __folio_start_writeback
     0.02%  test     [kernel.kallsyms]           [k] __srcu_read_unlock
     0.02%  test     libjpeg.so.8.2.2            [.] 0x000000000004c6c2
     0.02%  test     [kernel.kallsyms]           [k] __fget_light
     0.02%  test     libm.so.6                   [.] __atan2f
     0.02%  test     libjpeg.so.8.2.2            [.] 0x000000000003d645
     0.02%  test     libjpeg.so.8.2.2            [.] 0x0000000000027922
     0.02%  test     libjpeg.so.8.2.2            [.] 0x000000000003d6d7
     0.02%  test     libjpeg.so.8.2.2            [.] 0x000000000003d60d
     0.02%  test     libjpeg.so.8.2.2            [.] 0x000000000003d641
     0.02%  test     libjpeg.so.8.2.2            [.] 0x00000000000059e2
     0.02%  test     libjpeg.so.8.2.2            [.] 0x0000000000027950
     0.02%  test     libjpeg.so.8.2.2            [.] 0x0000000000027958
     0.02%  test     [kernel.kallsyms]           [k] __dquot_alloc_space
     0.02%  test     libjpeg.so.8.2.2            [.] 0x00000000000275fd
     0.02%  test     [kernel.kallsyms]           [k] mpage_prepare_extent_to_map
     0.02%  test     libjpeg.so.8.2.2            [.] 0x00000000000271c6
     0.02%  test     [kernel.kallsyms]           [k] inode_needs_update_time.part.0
     0.02%  test     libjpeg.so.8.2.2            [.] 0x000000000004be8f
     0.02%  test     libjpeg.so.8.2.2            [.] 0x000000000004c513
     0.02%  test     libjpeg.so.8.2.2            [.] 0x000000000003d455
     0.02%  test     libjpeg.so.8.2.2            [.] 0x0000000000028bd6
     0.02%  test     [kernel.kallsyms]           [k] bh_get_inode_and_lblk_num
     0.02%  test     libjpeg.so.8.2.2            [.] 0x00000000000059e7
     0.02%  test     [kernel.kallsyms]           [k] __get_obj_cgroup_from_memcg
     0.02%  test     libjpeg.so.8.2.2            [.] 0x00000000000273e0
     0.02%  test     libjpeg.so.8.2.2            [.] 0x0000000000027a53
     0.02%  test     [kernel.kallsyms]           [k] ext4_inode_csum
     0.02%  test     [kernel.kallsyms]           [k] balance_dirty_pages_ratelimited_flags
     0.02%  test     libjpeg.so.8.2.2            [.] 0x000000000003d720
     0.02%  test     libjpeg.so.8.2.2            [.] 0x000000000003d5ea
     0.02%  test     libjpeg.so.8.2.2            [.] 0x0000000000006143
