# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 35K of event 'branch-instructions'
# Event count (approx.): 6330547978
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                                                                                                                                                             
# ........  .......  ............................  ...................................................................................................................................................................................................................................................................................................................
#
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000007de3
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d637
     0.02%  test     [kernel.kallsyms]             [k] xas_set_mark
     0.02%  test     [kernel.kallsyms]             [k] mod_zone_page_state
     0.02%  test     [kernel.kallsyms]             [k] copyin
     0.02%  test     test                          [.] std::vector<int, std::allocator<int> >::operator[](unsigned long)
     0.02%  test     [kernel.kallsyms]             [k] bvec_try_merge_page
     0.02%  test     [kernel.kallsyms]             [k] _raw_write_lock
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027958
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d6e
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000000610b
     0.02%  test     [kernel.kallsyms]             [k] fsnotify
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000008e78
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7f3
     0.02%  test     [kernel.kallsyms]             [k] vfs_write
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000002726d
     0.02%  test     libm.so.6                     [.] __sqrtf
     0.02%  test     [kernel.kallsyms]             [k] consume_obj_stock
     0.02%  test     [kernel.kallsyms]             [k] __ext4_journal_get_write_access
     0.02%  test     [kernel.kallsyms]             [k] entry_SYSCALL_64
     0.02%  test     [kernel.kallsyms]             [k] _raw_spin_unlock
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c684
     0.02%  test     [kernel.kallsyms]             [k] __mod_lruvec_state
     0.02%  test     [kernel.kallsyms]             [k] node_dirty_ok
     0.02%  test     [kernel.kallsyms]             [k] __ext4_handle_dirty_metadata
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000006110
     0.02%  test     [kernel.kallsyms]             [k] __filemap_add_folio
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7ac
     0.02%  test     [kernel.kallsyms]             [k] ext4_da_map_blocks.constprop.0
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004bef3
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d4c
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d440
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c303
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000028b87
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c47e
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000276de
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027aa3
     0.02%  test     [kernel.kallsyms]             [k] ktime_get_coarse_real_ts64
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027853
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027910
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027860
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000048e47
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7e2
     0.02%  test     libm.so.6                     [.] __atan2f
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027935
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c27a
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000048e25
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027931
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c26e
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000026fab
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000155f6
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000273e0
     0.02%  test     test                          [.] std::vector<int, std::allocator<int> >::size() const
     0.02%  test     [kernel.kallsyms]             [k] kmalloc_node_trace
     0.02%  test     [kernel.kallsyms]             [k] xas_load
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027a4c
     0.02%  test     [kernel.kallsyms]             [k] _find_first_bit
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004bf0f
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027a2e
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000271f8
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000006141
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d66d
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027601
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c704
     0.02%  test     [kernel.kallsyms]             [k] jbd2_journal_grab_journal_head
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000156d3
